job_name,test_case,config,nodes,ntasks,peak_enabled,start_time,end_time,elapsed_seconds,exit_code,slurm_job_id
abinit_test4_N16_nopeak,test4,N16_nopeak,16,768,false,2026-06-30 01:13:54,2026-06-30 01:14:00,6,0,3258036
abinit_test2_N16_peak,test2,N16_peak,16,768,true,2026-06-30 01:08:52,2026-06-30 01:26:37,1065,0,3258022
abinit_test3_N16_peak,test3,N16_peak,16,768,true,2026-06-30 01:13:54,2026-06-30 01:30:27,993,0,3258035
abinit_test4_N16_peak,test4,N16_peak,16,768,true,2026-06-30 01:18:56,2026-06-30 01:33:22,866,0,3257775
abinit_test0_n48_nopeak,test0,n48_nopeak,1,48,false,2026-06-30 09:49:27,2026-06-30 09:49:32,5,0,3259016
abinit_test0_n48_peak,test0,n48_peak,1,48,true,2026-06-30 09:54:30,2026-06-30 10:00:49,379,0,3259037
abinit_test1_n48_nopeak,test1,n48_nopeak,1,48,false,2026-06-30 10:04:35,2026-06-30 10:04:39,4,0,3259062
abinit_test2_n48_nopeak,test2,n48_nopeak,1,48,false,2026-06-30 10:04:35,2026-06-30 10:04:39,4,0,3259064
abinit_test1_n48_peak,test1,n48_peak,1,48,true,2026-06-30 10:04:35,2026-06-30 10:09:13,278,0,3259063
abinit_test3_n48_nopeak,test3,n48_nopeak,1,48,false,2026-06-30 10:09:36,2026-06-30 10:09:40,4,0,3259084
abinit_test4_n48_nopeak,test4,n48_nopeak,1,48,false,2026-06-30 10:09:36,2026-06-30 10:09:41,5,0,3259086
abinit_test4_n48_peak,test4,n48_peak,1,48,true,2026-06-30 10:09:36,2026-06-30 10:14:52,316,0,3258062
abinit_test2_n48_peak,test2,n48_peak,1,48,true,2026-06-30 10:09:36,2026-06-30 10:15:07,331,0,3259083
abinit_test3_n48_peak,test3,n48_peak,1,48,true,2026-06-30 10:09:36,2026-06-30 10:15:16,340,0,3259085
